,search term,actual_words_searched,num_occur,percentage_of_terms,td-idf,word_order,truth
0,convolutional neural networks ( cnns,"['convolutional', 'neural', 'networks', '(', 'cnns']","[(26, 258), (19, 152), (21, 129), (11, 91), (0, 75), (20, 55), (2, 45), (25, 28), (12, 27), (29, 21), (1, 20), (15, 17), (5, 16), (9, 15), (30, 13), (16, 10), (24, 9), (22, 8), (18, 5), (17, 5), (23, 4), (3, 4), (8, 4), (14, 2), (28, 2), (10, 1), (7, 1), (13, 1), (27, 1)]","[(9, 1.0), (10, 1.0), (14, 1.0), (18, 0.8), (19, 0.8), (22, 0.8), (26, 0.8), (11, 0.6), (20, 0.6), (21, 0.4), (29, 0.4), (0, 0.4), (5, 0.4), (7, 0.4), (12, 0.4), (13, 0.4), (17, 0.4), (23, 0.4), (1, 0.2), (2, 0.2), (3, 0.2), (8, 0.2), (15, 0.2), (16, 0.2), (24, 0.2), (25, 0.2), (27, 0.2), (28, 0.2), (30, 0.2)]","[(9, 0.01592928364565821), (26, 0.0026121508375969893), (25, 0.0024736417814265528), (29, 0.002001837260615669), (11, 0.001986686797636347), (21, 0.0016762068584775824), (15, 0.001648965362545572), (22, 0.0013471392152656569), (0, 0.0011574774311206143), (19, 0.0010404089719878993), (20, 0.0010156034927221954), (18, 0.001014474103239046), (16, 0.0008869867159336044), (8, 0.0008091049555101659), (1, 0.0005744294922236676), (12, 0.000446945701471933), (30, 0.0004450494750122997), (17, 0.0003791234648676206), (3, 0.0003581463230868211), (2, 0.0003486218222597516), (10, 0.00033059925230002294), (5, 0.0002918739899998179), (14, 0.00023942988970475994), (24, 0.00023126237690414503), (23, 0.00019542446642660855), (27, 0.00016261423125449412), (28, 0.0001401195487895113), (13, 8.160714188417418e-05), (7, 3.6394188892942186e-05)]","[(14, 65), (19, 50), (9, 21), (10, 18), (26, 13), (11, 11), (18, 6), (22, 3), (20, 2), (0, 0), (5, 0), (7, 0), (12, 0), (13, 0), (17, 0), (21, 0), (23, 0), (29, 0)]",10
0,chapter 5 comparison artificial neural,"['chapter', '5', 'comparison', 'artificial', 'neural']","[(14, 159), (19, 109), (9, 28), (11, 22), (10, 19), (21, 18), (18, 9), (26, 9), (22, 5), (24, 5), (29, 5), (30, 4), (0, 3), (25, 3), (28, 2), (2, 1), (5, 1), (12, 1), (13, 1), (16, 1), (20, 1), (23, 1)]","[(11, 1.0), (19, 1.0), (21, 1.0), (14, 0.8), (20, 0.8), (2, 0.6), (10, 0.6), (9, 0.6), (18, 0.6), (22, 0.6), (0, 0.4), (12, 0.4), (26, 0.4), (29, 0.4), (5, 0.2), (13, 0.2), (16, 0.2), (24, 0.2), (25, 0.2), (28, 0.2), (30, 0.2), (23, 0.2)]","[(18, 0.028491282213318102), (9, 0.013199057880243906), (22, 0.013136843321707585), (19, 0.011640872243764654), (14, 0.008449391034206298), (11, 0.007493922863610487), (29, 0.007436661305679293), (21, 0.0036492946665707088), (10, 0.0027882735782904164), (25, 0.0017486886387064078), (26, 0.0014217380259049317), (28, 0.0009245090937476326), (30, 0.0009035192072022788), (24, 0.0008477053754637957), (23, 0.0006982677234118218), (0, 0.0006617219597998981), (16, 0.0005852340319378396), (13, 0.0005384441031851219), (12, 0.00040932197004441863), (20, 0.0002881111198860444), (5, 0.00012036157709362225), (2, 0.0001107248445111226)]","[(11, 22), (19, 5), (14, 3), (18, 2), (22, 2), (9, 1), (0, 0), (2, 0), (10, 0), (12, 0), (20, 0), (21, 0), (26, 0), (29, 0)]",11
0,"cryptocurrency wikipedia , free encyclopedia","['cryptocurrency', 'wikipedia', ',', 'free', 'encyclopedia']","[(19, 1029), (21, 458), (10, 436), (11, 204), (7, 103), (23, 95), (29, 77), (25, 67), (17, 51), (16, 43), (27, 33), (8, 16), (15, 14), (6, 11), (26, 3), (1, 2), (3, 2), (13, 2), (28, 2), (2, 1), (5, 1), (12, 1), (30, 1), (18, 1), (22, 1), (0, 1), (4, 1), (9, 1), (14, 1), (20, 1), (24, 1)]","[(2, 1.0), (12, 1.0), (30, 1.0), (5, 0.8), (18, 0.8), (22, 0.8), (1, 0.6), (3, 0.6), (13, 0.6), (28, 0.6), (7, 0.4), (27, 0.4), (0, 0.4), (4, 0.4), (9, 0.4), (14, 0.4), (20, 0.4), (24, 0.4), (26, 0.4), (6, 0.2), (8, 0.2), (10, 0.2), (11, 0.2), (15, 0.2), (16, 0.2), (17, 0.2), (19, 0.2), (21, 0.2), (23, 0.2), (25, 0.2), (29, 0.2)]","[(18, 0.005017010568617829), (22, 0.004163864101365558), (4, 0.0019152860216710807), (3, 0.001783464716535824), (13, 0.001625519501787264), (28, 0.0013955093505311992), (30, 0.0008465234550763828), (1, 0.0005720984220575955), (20, 0.00045659962592207906), (12, 0.00040932197004441863), (26, 0.0003025058801204896), (9, 0.00030089876023521074), (24, 0.00025591544441383533), (2, 0.00019156497617211935), (5, 0.00018168096713679484), (0, 0.00015370404221365966), (14, 3.392061999366134e-05), (15, -6.601463130056997e-06), (6, -1.2191803777748856e-05), (8, -1.5733103766407616e-05), (7, -1.8222955898392585e-05), (16, -1.8541084184610045e-05), (17, -1.879881141460476e-05), (10, -1.99351405534663e-05), (11, -2.1650490276774153e-05), (23, -2.2562753744535223e-05), (27, -2.608687425974204e-05), (25, -2.877419177518091e-05), (21, -2.893029989479066e-05), (19, -3.4239343588206486e-05), (29, -3.5682046401256354e-05)]","[(9, 7), (12, 4), (2, 3), (18, 3), (22, 3), (27, 3), (30, 3), (5, 1), (20, 1), (0, 0), (1, 0), (3, 0), (4, 0), (7, 0), (13, 0), (14, 0), (24, 0), (26, 0), (28, 0)]",12
0,cryptocurrency jake frankenfield reviewed michael,"['cryptocurrency', 'jake', 'frankenfield', 'reviewed', 'michael']","[(12, 74), (2, 21), (1, 7), (27, 7), (5, 6), (3, 3), (28, 3), (7, 2), (19, 2), (13, 1), (30, 1)]","[(13, 1.0), (30, 0.4), (1, 0.2), (2, 0.2), (3, 0.2), (5, 0.2), (7, 0.2), (12, 0.2), (27, 0.2), (28, 0.2), (19, 0.2)]","[(12, 0.020870706892638036), (27, 0.019394162446338528), (3, 0.004576528790113429), (28, 0.003581000880120434), (1, 0.003425462458054597), (13, 0.0033651322046914663), (2, 0.0027718887008779027), (5, 0.0018648379617674186), (30, 0.0014116885874170082), (7, 0.001240156457661017), (19, 0.000564500666958457)]","[(13, 4), (30, 0)]",13
0,neural networks 113 ( 2019,"['neural', 'networks', '113', '(', '2019']","[(10, 179), (19, 152), (21, 129), (11, 91), (0, 75), (20, 55), (9, 30), (25, 28), (14, 23), (29, 21), (15, 17), (5, 16), (2, 10), (16, 10), (24, 9), (22, 8), (18, 5), (17, 5), (23, 4), (8, 4), (30, 3), (26, 2), (12, 2), (1, 2), (28, 2), (7, 1), (13, 1), (3, 1), (27, 1)]","[(14, 1.0), (26, 0.8), (9, 0.6), (10, 0.6), (11, 0.6), (18, 0.6), (19, 0.6), (20, 0.6), (22, 0.6), (12, 0.6), (13, 0.6), (2, 0.6), (21, 0.4), (29, 0.4), (0, 0.4), (5, 0.4), (7, 0.4), (17, 0.4), (23, 0.4), (1, 0.4), (3, 0.4), (30, 0.4), (8, 0.2), (15, 0.2), (16, 0.2), (24, 0.2), (25, 0.2), (27, 0.2), (28, 0.2)]","[(25, 0.0024736417814265528), (30, 0.0020948861353016694), (29, 0.002001837260615669), (11, 0.001986686797636347), (3, 0.0018263109897501731), (10, 0.0016835898124437504), (21, 0.0016762068584775824), (13, 0.0016645712711007114), (15, 0.001648965362545572), (14, 0.0015978346097696204), (2, 0.0015802153706269014), (22, 0.0013471392152656569), (1, 0.0011716852323851762), (0, 0.0011574774311206143), (19, 0.0010404089719878993), (20, 0.0010156034927221954), (18, 0.001014474103239046), (9, 0.0009063744037135738), (16, 0.0008869867159336044), (8, 0.0008091049555101659), (12, 0.0006752976264495401), (26, 0.00041303111350675365), (17, 0.0003791234648676206), (5, 0.0002918739899998179), (24, 0.00023126237690414503), (23, 0.00019542446642660855), (27, 0.00016261423125449412), (28, 0.0001401195487895113), (7, 3.6394188892942186e-05)]","[(14, 112), (19, 48), (9, 16), (10, 13), (11, 13), (18, 4), (26, 4), (20, 2), (22, 1), (0, 0), (1, 0), (2, 0), (3, 0), (5, 0), (7, 0), (12, 0), (13, 0), (17, 0), (21, 0), (23, 0), (29, 0), (30, 0)]",14
0,happened internet 2009 ? many,"['happened', 'internet', '2009', '?', 'many']","[(22, 36), (10, 13), (1, 9), (19, 8), (13, 7), (5, 6), (28, 6), (0, 5), (2, 5), (6, 4), (15, 4), (12, 4), (18, 4), (20, 4), (24, 3), (4, 3), (7, 3), (16, 3), (27, 3), (11, 2), (14, 2), (9, 2), (17, 1), (3, 1), (30, 1), (8, 1), (25, 1), (26, 1), (21, 1)]","[(5, 1.0), (15, 1.0), (24, 0.8), (1, 0.8), (2, 0.8), (7, 0.8), (12, 0.8), (0, 0.6), (10, 0.6), (4, 0.6), (16, 0.6), (17, 0.6), (3, 0.6), (11, 0.6), (13, 0.6), (14, 0.6), (28, 0.6), (6, 0.4), (30, 0.4), (8, 0.4), (19, 0.4), (27, 0.4), (18, 0.2), (22, 0.2), (25, 0.2), (26, 0.2), (9, 0.2), (20, 0.2), (21, 0.2)]","[(22, 0.03129353076671049), (6, 0.004707770569715133), (18, 0.004189483901489614), (4, 0.0025918113081554064), (13, 0.002566307629846374), (27, 0.0021916051502784686), (28, 0.0018884369615915844), (15, 0.0017430309967127), (16, 0.0013736242337437537), (1, 0.0011612661056020976), (8, 0.0009087143306032676), (10, 0.0005492993912237501), (5, 0.0004917101464468602), (7, 0.0004904963803146545), (25, 0.0004560456843499014), (3, 0.0004022379223183154), (0, 0.00034666003772722926), (24, 0.0003463109610044985), (17, 0.000340638057643282), (20, 0.00033182109706414887), (12, 0.00029746337369049075), (9, 0.00027145564702902707), (19, 0.00024599880362147675), (11, 0.00019615551196964248), (2, 0.0001740181576587294), (30, 0.0001537968526511206), (21, 5.8374128562058704e-05), (26, 5.2264658774115045e-05), (14, 3.060146821744063e-05)]","[(15, 7), (4, 1), (0, 0), (1, 0), (2, 0), (3, 0), (5, 0), (6, 0), (7, 0), (8, 0), (10, 0), (11, 0), (12, 0), (13, 0), (14, 0), (16, 0), (17, 0), (19, 0), (24, 0), (27, 0), (28, 0), (30, 0)]",15
0,instantaneous shareable nature internet one,"['instantaneous', 'shareable', 'nature', 'internet', 'one']","[(19, 26), (10, 26), (21, 25), (2, 25), (5, 19), (14, 18), (20, 16), (24, 15), (7, 13), (1, 9), (12, 7), (26, 7), (9, 6), (23, 5), (28, 5), (16, 4), (0, 4), (30, 3), (17, 2), (6, 2), (11, 2), (29, 2), (8, 1), (13, 1), (22, 1), (4, 1), (15, 1), (3, 1), (25, 1), (27, 1)]","[(16, 1.0), (1, 0.6), (2, 0.6), (7, 0.6), (12, 0.6), (21, 0.4), (13, 0.4), (14, 0.4), (19, 0.4), (20, 0.4), (23, 0.4), (28, 0.4), (0, 0.4), (5, 0.4), (15, 0.4), (17, 0.4), (24, 0.4), (8, 0.2), (22, 0.2), (4, 0.2), (3, 0.2), (6, 0.2), (9, 0.2), (10, 0.2), (11, 0.2), (25, 0.2), (26, 0.2), (27, 0.2), (29, 0.2), (30, 0.2)]","[(8, 0.007109899773549884), (4, 0.0030005311702914713), (22, 0.002406719716734147), (7, 0.0009825235747932452), (6, 0.0009469418328565086), (24, 0.0008004262394304144), (16, 0.0007367916400033261), (28, 0.0007274553151036009), (5, 0.0007197747310783112), (21, 0.0006745986911507148), (20, 0.0006135487299999866), (1, 0.0005368053377167091), (10, 0.0005078368236030865), (23, 0.000507290267601701), (2, 0.000402207019735585), (29, 0.00039591964563397126), (9, 0.00037644818765197267), (19, 0.0003695740177134192), (27, 0.00033769616833485784), (17, 0.000314925798127136), (12, 0.0002406337965978927), (30, 0.00021328179052727865), (15, 0.00020143280216465204), (3, 0.00018593797122890956), (25, 0.0001834620994415739), (13, 0.00016947113982856334), (26, 0.00014717843075909566), (0, 0.00012819728930506816), (14, 0.00012731214888353162), (11, 9.067458814124514e-05)]","[(16, 4), (0, 0), (1, 0), (2, 0), (5, 0), (7, 0), (12, 0), (13, 0), (14, 0), (15, 0), (17, 0), (19, 0), (20, 0), (21, 0), (23, 0), (24, 0), (28, 0)]",16
0,top 10 internet things products,"['top', '10', 'internet', 'things', 'products']","[(26, 27), (15, 20), (14, 11), (17, 11), (0, 7), (19, 6), (11, 5), (10, 4), (21, 3), (20, 3), (30, 2), (1, 1), (2, 1), (3, 1), (13, 1), (16, 1), (28, 1), (5, 1), (9, 1), (12, 1), (22, 1), (24, 1), (4, 1), (7, 1), (27, 1)]","[(17, 1.0), (1, 0.8), (2, 0.8), (16, 0.8), (0, 0.8), (5, 0.8), (10, 0.6), (12, 0.6), (3, 0.4), (14, 0.4), (28, 0.4), (20, 0.4), (24, 0.4), (7, 0.4), (13, 0.2), (21, 0.2), (9, 0.2), (11, 0.2), (19, 0.2), (22, 0.2), (26, 0.2), (30, 0.2), (4, 0.2), (15, 0.2), (27, 0.2)]","[(15, 0.03026851619153677), (17, 0.01701286957423276), (27, 0.0036437487829378617), (4, 0.0030005311702914713), (26, 0.0022375432966620784), (0, 0.0022035531760488834), (16, 0.0019874993361479244), (28, 0.0015698516403787196), (13, 0.001390409115815519), (22, 0.001378324988064166), (20, 0.001241288202147493), (11, 0.0008934847734407396), (10, 0.000767392369381842), (7, 0.0007423458274299937), (3, 0.00073287455505706), (21, 0.0006641613461562967), (1, 0.0005858426161925881), (30, 0.0005604334832789282), (24, 0.00040092302623956534), (5, 0.00037209140594030206), (12, 0.00033764881322477004), (19, 0.0003361560168971102), (14, 0.00030665608307341353), (9, 0.00024729510259439047), (2, 0.00015802153706269013)]","[(17, 33), (0, 0), (1, 0), (2, 0), (3, 0), (5, 0), (7, 0), (10, 0), (12, 0), (14, 0), (16, 0), (20, 0), (24, 0), (28, 0)]",17
0,"kunihiko fukushima wikipedia , free","['kunihiko', 'fukushima', 'wikipedia', ',', 'free']","[(19, 1029), (21, 458), (10, 436), (20, 284), (11, 204), (7, 103), (23, 95), (29, 77), (25, 67), (17, 51), (16, 43), (27, 33), (8, 16), (15, 14), (6, 11), (2, 4), (26, 3), (1, 2), (3, 2), (13, 2), (28, 2), (9, 1), (18, 1), (22, 1), (5, 1), (12, 1), (30, 1), (0, 1), (4, 1), (14, 1), (24, 1)]","[(18, 1.0), (22, 1.0), (9, 0.8), (21, 0.6), (29, 0.6), (2, 0.6), (5, 0.6), (12, 0.6), (30, 0.6), (19, 0.4), (0, 0.4), (1, 0.4), (3, 0.4), (4, 0.4), (13, 0.4), (14, 0.4), (24, 0.4), (26, 0.4), (28, 0.4), (6, 0.2), (7, 0.2), (8, 0.2), (10, 0.2), (11, 0.2), (15, 0.2), (16, 0.2), (17, 0.2), (20, 0.2), (23, 0.2), (25, 0.2), (27, 0.2)]","[(18, 0.0020207146100199476), (4, 0.0019152860216710807), (3, 0.001783464716535824), (22, 0.00167709055197087), (13, 0.001625519501787264), (28, 0.0013955093505311992), (1, 0.0005720984220575955), (30, 0.00034095648992596634), (2, 0.00030862852754625074), (26, 0.0003025058801204896), (9, 0.00030089876023521074), (24, 0.00025591544441383533), (5, 0.00018168096713679484), (12, 0.00016486369198516037), (0, 0.00015370404221365966), (14, 3.392061999366134e-05), (15, -6.601463130056997e-06), (6, -1.2191803777748856e-05), (8, -1.5733103766407616e-05), (7, -1.8222955898392585e-05), (16, -1.8541084184610045e-05), (17, -1.879881141460476e-05), (10, -1.99351405534663e-05), (11, -2.1650490276774153e-05), (23, -2.2562753744535223e-05), (20, -2.549349572168804e-05), (27, -2.608687425974204e-05), (25, -2.877419177518091e-05), (21, -2.893029989479066e-05), (19, -3.4239343588206486e-05), (29, -3.5682046401256354e-05)]","[(21, 17), (29, 7), (18, 6), (22, 3), (2, 2), (12, 2), (28, 2), (30, 2), (5, 1), (9, 1), (0, 0), (1, 0), (3, 0), (4, 0), (13, 0), (14, 0), (19, 0), (24, 0), (26, 0)]",18
0,artificial neural networks document analysis,"['artificial', 'neural', 'networks', 'document', 'analysis']","[(19, 36), (10, 20), (20, 18), (21, 18), (0, 13), (29, 5), (18, 4), (26, 4), (23, 3), (17, 3), (28, 3), (30, 3), (2, 2), (11, 2), (5, 2), (12, 2), (9, 1), (14, 1), (22, 1), (7, 1), (13, 1), (24, 1)]","[(14, 1.0), (19, 1.0), (20, 1.0), (0, 0.8), (9, 0.8), (11, 0.8), (23, 0.8), (18, 0.6), (22, 0.6), (2, 0.4), (21, 0.4), (29, 0.4), (10, 0.4), (26, 0.4), (5, 0.4), (13, 0.4), (17, 0.4), (7, 0.2), (12, 0.2), (24, 0.2), (28, 0.2), (30, 0.2)]","[(18, 0.00808285844007979), (29, 0.007436661305679293), (20, 0.004750474876448253), (21, 0.0036492946665707088), (19, 0.00352181083897216), (17, 0.0032511345202054422), (28, 0.0030039521702003827), (0, 0.002867461825799559), (23, 0.0020948031702354656), (10, 0.001873472292249852), (22, 0.00167709055197087), (30, 0.0014678754928688146), (13, 0.0011663561726854294), (5, 0.0008175141619129214), (11, 0.0006240523648524212), (24, 0.0005757744010219394), (9, 0.0004318067251335401), (26, 0.00040334117349398614), (7, 0.00036246499038756054), (12, 0.00032972738397032074), (2, 0.0002214496890222452), (14, 4.867800659102947e-05)]","[(14, 61), (19, 57), (11, 26), (9, 15), (10, 10), (18, 6), (26, 4), (22, 3), (0, 2), (20, 1), (2, 0), (5, 0), (13, 0), (17, 0), (21, 0), (23, 0), (29, 0)]",19
0,( ijcsis ) international journal,"['(', 'ijcsis', ')', 'international', 'journal']","[(26, 254), (10, 179), (9, 30), (25, 28), (0, 23), (1, 20), (15, 17), (5, 16), (30, 13), (16, 10), (14, 9), (22, 8), (20, 7), (23, 7), (8, 6), (12, 5), (3, 4), (2, 3), (19, 3), (17, 2), (28, 2), (7, 1), (11, 1), (13, 1), (18, 1), (21, 1), (24, 1), (27, 1), (29, 1)]","[(20, 1.0), (0, 0.8), (2, 0.8), (11, 0.8), (14, 0.8), (12, 0.6), (17, 0.6), (18, 0.6), (19, 0.6), (21, 0.6), (24, 0.6), (29, 0.6), (1, 0.4), (3, 0.4), (5, 0.4), (7, 0.4), (8, 0.4), (9, 0.4), (10, 0.4), (13, 0.4), (15, 0.4), (16, 0.4), (22, 0.4), (23, 0.4), (25, 0.4), (26, 0.4), (27, 0.4), (28, 0.4), (30, 0.4)]","[(0, 0.007240246149874901), (18, 0.0037787526998926597), (17, 0.002824347732262628), (20, 0.0026365363495224462), (26, 0.0025716523749985867), (25, 0.0024736417814265528), (29, 0.0017753622598633617), (12, 0.0016882440661238503), (10, 0.0016835898124437504), (15, 0.001648965362545572), (22, 0.0013471392152656569), (8, 0.001213657433265249), (9, 0.0009063744037135738), (16, 0.0008869867159336044), (14, 0.0006252396299098515), (1, 0.0005744294922236676), (24, 0.0005241272050367461), (2, 0.0004740646111880705), (11, 0.0004453097872342476), (30, 0.0004450494750122997), (19, 0.0004188475528953508), (3, 0.0003581463230868211), (23, 0.00034199281624656497), (5, 0.0002918739899998179), (21, 0.00024200002602132778), (27, 0.00016261423125449412), (28, 0.0001401195487895113), (13, 8.160714188417418e-05), (7, 3.6394188892942186e-05)]","[(26, 39), (0, 33), (20, 25), (14, 17), (19, 8), (21, 6), (11, 5), (2, 3), (10, 3), (15, 2), (25, 2), (29, 1), (1, 0), (3, 0), (5, 0), (7, 0), (8, 0), (9, 0), (12, 0), (13, 0), (16, 0), (17, 0), (18, 0), (22, 0), (23, 0), (24, 0), (27, 0), (28, 0), (30, 0)]",20
0,"biol . cybernetics 36 ,","['biol', '.', 'cybernetics', '36', ',']","[(14, 2418), (26, 1142), (19, 1029), (21, 458), (2, 446), (10, 436), (0, 385), (5, 304), (20, 284), (12, 270), (11, 204), (1, 166), (24, 161), (30, 122), (7, 103), (9, 100), (23, 95), (29, 77), (13, 74), (28, 69), (25, 67), (17, 51), (16, 43), (3, 38), (27, 33), (18, 24), (22, 22), (4, 19), (8, 16), (15, 14), (6, 11)]","[(21, 1.0), (29, 1.0), (2, 0.6), (9, 0.6), (10, 0.6), (12, 0.6), (14, 0.6), (19, 0.6), (26, 0.6), (30, 0.6), (0, 0.4), (1, 0.4), (3, 0.4), (4, 0.4), (5, 0.4), (6, 0.4), (7, 0.4), (8, 0.4), (11, 0.4), (13, 0.4), (15, 0.4), (16, 0.4), (17, 0.4), (18, 0.4), (20, 0.4), (22, 0.4), (23, 0.4), (24, 0.4), (25, 0.4), (27, 0.4), (28, 0.4)]","[(15, -6.601463130056997e-06), (6, -1.2191803777748856e-05), (9, -1.468709595680128e-05), (8, -1.5733103766407616e-05), (3, -1.6539929600582365e-05), (2, -1.6796796793118267e-05), (4, -1.7762446136277583e-05), (22, -1.8009212686928514e-05), (7, -1.8222955898392585e-05), (16, -1.8541084184610045e-05), (17, -1.879881141460476e-05), (10, -1.99351405534663e-05), (24, -2.0111196352063648e-05), (30, -2.0303659710931603e-05), (11, -2.1650490276774153e-05), (12, -2.172722788100453e-05), (23, -2.2562753744535223e-05), (1, -2.3177381868868017e-05), (28, -2.3499973893963646e-05), (18, -2.3671825850374764e-05), (20, -2.549349572168804e-05), (27, -2.608687425974204e-05), (5, -2.6958675466662704e-05), (25, -2.877419177518091e-05), (0, -2.8884280408553646e-05), (21, -2.893029989479066e-05), (13, -2.935684921726981e-05), (19, -3.4239343588206486e-05), (29, -3.5682046401256354e-05), (14, -4.0034610913606734e-05), (26, -5.6207491572618445e-05)]","[(20, 15), (1, 10), (2, 10), (5, 10), (11, 10), (12, 10), (19, 10), (10, 8), (14, 7), (15, 7), (21, 6), (24, 6), (23, 5), (25, 4), (4, 3), (6, 3), (13, 3), (29, 3), (7, 2), (17, 2), (26, 2), (16, 1), (18, 1), (22, 1), (27, 1), (28, 1), (30, 1), (0, 0), (3, 0), (8, 0), (9, 0)]",21
0,"neocognitron wikipedia , free encyclopedia","['neocognitron', 'wikipedia', ',', 'free', 'encyclopedia']","[(19, 1029), (21, 458), (10, 436), (11, 204), (7, 103), (23, 95), (29, 77), (25, 67), (17, 51), (16, 43), (27, 33), (8, 16), (15, 14), (6, 11), (26, 3), (1, 2), (3, 2), (13, 2), (28, 2), (9, 1), (18, 1), (22, 1), (2, 1), (5, 1), (12, 1), (30, 1), (0, 1), (4, 1), (14, 1), (20, 1), (24, 1)]","[(18, 1.0), (22, 1.0), (2, 0.8), (12, 0.8), (30, 0.8), (9, 0.6), (5, 0.6), (19, 0.4), (21, 0.4), (29, 0.4), (0, 0.4), (1, 0.4), (3, 0.4), (4, 0.4), (13, 0.4), (14, 0.4), (20, 0.4), (24, 0.4), (26, 0.4), (28, 0.4), (6, 0.2), (7, 0.2), (8, 0.2), (10, 0.2), (11, 0.2), (15, 0.2), (16, 0.2), (17, 0.2), (23, 0.2), (25, 0.2), (27, 0.2)]","[(18, 0.005017010568617829), (22, 0.004163864101365558), (4, 0.0019152860216710807), (3, 0.001783464716535824), (13, 0.001625519501787264), (28, 0.0013955093505311992), (30, 0.0008465234550763828), (1, 0.0005720984220575955), (20, 0.00045659962592207906), (12, 0.00040932197004441863), (26, 0.0003025058801204896), (9, 0.00030089876023521074), (24, 0.00025591544441383533), (2, 0.00019156497617211935), (5, 0.00018168096713679484), (0, 0.00015370404221365966), (14, 3.392061999366134e-05), (15, -6.601463130056997e-06), (6, -1.2191803777748856e-05), (8, -1.5733103766407616e-05), (7, -1.8222955898392585e-05), (16, -1.8541084184610045e-05), (17, -1.879881141460476e-05), (10, -1.99351405534663e-05), (11, -2.1650490276774153e-05), (23, -2.2562753744535223e-05), (27, -2.608687425974204e-05), (25, -2.877419177518091e-05), (21, -2.893029989479066e-05), (19, -3.4239343588206486e-05), (29, -3.5682046401256354e-05)]","[(20, 12), (22, 4), (2, 3), (12, 3), (18, 3), (30, 3), (9, 2), (21, 2), (28, 2), (5, 1), (19, 1), (0, 0), (1, 0), (3, 0), (4, 0), (13, 0), (14, 0), (24, 0), (26, 0), (29, 0)]",22
0,computational scheme evolved basic set,"['computational', 'scheme', 'evolved', 'basic', 'set']","[(14, 20), (21, 15), (19, 13), (12, 9), (10, 8), (2, 6), (20, 6), (23, 4), (0, 2), (9, 2), (11, 2), (29, 2), (5, 1), (7, 1), (8, 1), (24, 1), (28, 1), (1, 1), (16, 1), (26, 1)]","[(14, 1.0), (23, 1.0), (2, 0.8), (19, 0.8), (0, 0.6), (5, 0.6), (7, 0.6), (10, 0.6), (20, 0.6), (12, 0.4), (1, 0.4), (9, 0.4), (21, 0.4), (8, 0.2), (24, 0.2), (28, 0.2), (11, 0.2), (16, 0.2), (26, 0.2), (29, 0.2)]","[(12, 0.0033382848131107354), (8, 0.0026471613169534525), (23, 0.0021362903058609007), (21, 0.0021306420647466975), (29, 0.0020841108012637235), (20, 0.0012111392577341092), (19, 0.0009727140477578753), (16, 0.0009696130465772402), (28, 0.0009168626314263277), (10, 0.0008225353658517445), (14, 0.0007446309639012071), (9, 0.0006605378495808523), (7, 0.0006200782288305085), (2, 0.0005081297703221222), (11, 0.00047730869288567014), (0, 0.0003374136119282511), (24, 0.0003362776576145362), (1, 0.0003139699388916778), (5, 0.00019941450614236343), (26, 0.00011067763754612784)]","[(23, 4), (19, 2), (0, 0), (1, 0), (2, 0), (5, 0), (7, 0), (9, 0), (10, 0), (12, 0), (14, 0), (20, 0), (21, 0)]",23
0,bitcoin : peer-to-peer electronic cash,"['bitcoin', ':', 'peer-to-peer', 'electronic', 'cash']","[(10, 138), (14, 110), (20, 68), (26, 45), (21, 33), (29, 24), (23, 13), (11, 12), (25, 11), (2, 9), (17, 8), (1, 7), (0, 7), (9, 6), (12, 5), (16, 5), (4, 4), (22, 4), (3, 3), (7, 3), (5, 2), (24, 2), (28, 2), (19, 2), (6, 1), (8, 1), (13, 1), (27, 1), (30, 1), (15, 1), (18, 1)]","[(1, 1.0), (2, 1.0), (5, 1.0), (12, 1.0), (24, 1.0), (28, 1.0), (30, 1.0), (3, 0.6), (7, 0.6), (27, 0.6), (8, 0.4), (13, 0.4), (0, 0.4), (19, 0.4), (4, 0.2), (6, 0.2), (9, 0.2), (10, 0.2), (11, 0.2), (14, 0.2), (15, 0.2), (16, 0.2), (17, 0.2), (18, 0.2), (20, 0.2), (21, 0.2), (22, 0.2), (23, 0.2), (25, 0.2), (26, 0.2), (29, 0.2)]","[(4, 0.009208299642159195), (3, 0.005002640214027934), (1, 0.003744400402620908), (29, 0.0034974350073492737), (27, 0.0030285591491786756), (6, 0.0027292640691966687), (28, 0.002609613796969165), (7, 0.0020334374100903453), (0, 0.0020119946336483595), (10, 0.0019842266656381904), (20, 0.001919549633869404), (12, 0.0015414822016777692), (13, 0.0015198673220970477), (25, 0.001485594896597095), (2, 0.0012985601583120152), (22, 0.0010297016772906492), (23, 0.0009709374063112491), (24, 0.0009571279108171183), (17, 0.0009273199105200361), (26, 0.0006964981969465593), (5, 0.0006794897623672807), (16, 0.0006779787113177069), (21, 0.0006555122017299755), (30, 0.0006375913998270896), (14, 0.0005727319134211594), (11, 0.00040049601268757725), (18, 0.00031017007710436984), (8, 0.0003092244366253931), (9, 0.0002771191672489862), (19, 0.0002549576256813989), (15, 0.00014828306317708908)]","[(2, 10), (1, 6), (24, 5), (28, 4), (30, 4), (3, 2), (12, 2), (5, 1), (0, 0), (7, 0), (8, 0), (13, 0), (19, 0), (27, 0)]",24
